date,sales_1,sales_2,sales_3,sales_4,sales_5,sales_6,sales_7,sales_8,sales_9,sales_10,sales_11,sales_12,sales_13,sales_14,sales_15,sales_16,sales_17,sales_18,sales_19,sales_20,sales_21,sales_22,sales_23,sales_24,sales_25,sales_26,sales_27,sales_28,sales_29,sales_30,sales_31,sales_32,sales_33,sales_34,sales_35,sales_36,sales_37,sales_38,sales_39,sales_40,sales_41,sales_42,sales_43,sales_44,sales_45,sales_46,sales_47,sales_48,sales_49,sales_50
1/11/2013,9,28,24,19,10,36,28,37,20,33,34,38,55,20,42,9,15,43,28,26,20,45,17,34,44,18,16,45,39,18,24,20,46,22,25,39,21,53,30,20,11,17,30,15,48,29,9,24,15,43
1/12/2013,7,39,19,9,8,38,35,43,38,36,46,34,45,38,50,9,27,52,27,27,25,50,11,39,51,21,10,58,41,24,25,20,35,15,28,46,13,43,24,13,20,24,25,18,51,31,7,35,15,46
1/13/2013,10,28,19,8,11,36,44,43,32,36,29,44,52,28,53,17,26,48,27,29,21,55,19,34,44,30,17,62,48,23,31,29,40,20,46,51,20,63,28,13,12,24,28,14,42,47,19,35,18,32
1/14/2013,12,30,15,5,5,20,17,28,24,26,29,27,39,25,17,6,11,28,12,23,15,36,17,29,26,13,10,45,30,14,23,23,39,15,27,31,9,27,25,12,5,13,20,12,29,22,7,27,16,32
1/15/2013,5,27,12,14,10,21,34,40,24,24,32,43,48,32,55,12,19,49,25,11,24,33,15,19,24,21,6,39,49,17,36,26,28,15,33,47,12,40,25,18,14,19,23,12,39,30,16,16,18,28
1/16/2013,7,19,26,7,6,24,35,48,22,41,32,27,32,33,42,12,15,41,12,17,20,39,16,36,31,20,11,49,41,26,29,20,36,14,40,27,16,39,18,18,4,15,19,15,41,17,6,20,16,35
1/17/2013,16,29,14,11,7,33,32,38,33,35,37,33,39,30,46,16,22,51,13,25,18,34,12,38,34,21,16,43,39,15,20,20,34,11,40,40,9,40,20,18,10,20,24,17,39,31,4,24,18,34
1/18/2013,7,29,21,7,10,33,34,38,24,37,30,42,50,31,48,14,18,47,23,16,23,40,21,39,46,23,20,50,33,17,30,23,33,11,34,40,13,45,23,18,7,20,24,21,38,38,8,19,13,39
1/19/2013,18,44,13,9,8,31,34,37,23,45,48,35,43,28,56,10,14,55,23,32,25,42,9,38,41,30,18,41,43,17,26,21,33,14,36,41,16,47,23,15,9,18,30,20,49,25,17,35,16,49
1/20/2013,15,34,21,20,9,34,42,58,34,40,43,49,61,29,47,14,22,45,23,23,25,53,17,38,37,29,13,50,47,26,34,19,39,17,50,53,18,53,21,20,9,25,36,13,50,39,17,24,19,53
1/21/2013,8,15,18,15,4,24,15,30,26,26,25,21,44,24,24,11,24,31,11,13,19,35,15,24,28,14,13,37,19,21,17,15,23,5,29,24,12,41,14,16,14,15,25,10,34,34,12,18,8,27
1/22/2013,7,29,20,11,9,29,21,36,20,37,29,35,40,27,44,14,18,46,18,23,19,48,15,41,46,27,10,48,41,18,30,32,26,13,34,32,11,44,23,15,10,16,32,13,34,27,13,17,10,26
1/23/2013,9,21,14,7,6,19,24,41,21,47,26,31,45,39,24,10,16,41,22,18,18,42,9,27,33,18,10,45,36,17,33,18,32,16,33,42,17,46,17,14,13,7,17,10,43,26,10,19,10,28
1/24/2013,8,33,20,8,12,26,30,42,17,46,32,35,48,28,57,15,18,45,18,20,16,35,16,27,42,21,13,49,43,19,31,17,38,14,36,37,19,41,18,17,11,15,25,13,40,38,13,16,14,35
1/25/2013,14,29,21,12,5,38,30,41,27,42,30,43,41,29,48,13,19,60,17,28,21,41,19,38,33,24,10,50,36,15,29,17,44,9,25,35,14,50,21,20,16,24,23,17,40,33,19,32,12,42
1/26/2013,12,33,17,5,7,36,38,36,25,38,32,37,40,34,49,11,22,47,21,27,25,42,17,41,58,28,13,43,41,19,38,28,34,20,38,43,12,49,15,22,6,21,35,14,48,35,10,27,18,36
1/27/2013,12,32,17,13,18,36,34,41,34,38,55,42,51,28,55,14,17,50,28,29,30,52,20,42,47,26,13,58,39,21,33,20,45,14,42,42,23,46,32,13,15,23,32,15,45,31,19,36,9,38
1/28/2013,11,16,14,7,9,30,23,26,17,18,34,24,37,24,32,10,17,31,20,17,17,33,18,29,28,21,7,36,23,15,24,23,24,7,35,27,14,31,22,12,10,15,24,13,31,29,12,17,8,23
1/29/2013,6,35,15,13,9,21,28,43,29,33,28,35,28,30,45,13,13,38,23,23,22,41,15,33,39,32,9,42,40,18,27,16,36,9,34,37,19,39,16,11,14,21,25,12,32,27,8,20,12,24
1/30/2013,9,29,14,8,9,30,25,33,26,26,28,38,33,36,45,10,12,35,20,20,22,31,5,27,36,26,8,36,31,18,27,16,30,9,33,35,14,43,25,16,3,22,21,11,29,27,10,24,12,19
1/31/2013,13,27,24,19,13,30,31,36,24,38,40,34,41,33,43,11,24,35,14,33,30,55,8,29,46,29,18,48,33,21,21,24,38,10,32,34,19,44,23,18,13,16,32,20,49,29,12,30,13,31
2/1/2013,11,30,22,21,8,46,38,50,29,45,44,38,64,33,52,14,27,65,40,27,17,56,20,28,65,24,13,59,39,30,34,28,46,16,44,51,16,40,22,9,13,11,36,18,46,35,12,40,12,59
2/2/2013,21,26,32,10,16,32,42,54,28,34,52,39,48,44,61,21,13,52,13,27,27,60,17,39,33,20,18,60,48,33,26,34,33,23,50,60,22,43,32,19,16,23,30,22,47,37,12,33,23,51
2/3/2013,15,39,29,6,11,35,28,47,31,42,49,39,48,32,58,26,18,48,24,28,27,55,10,40,45,39,15,70,56,16,44,29,37,13,55,53,20,53,26,13,12,24,38,22,82,39,16,41,18,43
2/4/2013,14,30,21,11,8,24,33,35,16,38,25,25,29,22,35,13,22,39,13,23,21,31,15,34,40,25,7,45,39,18,30,24,39,9,26,33,23,43,20,9,7,12,30,15,34,20,9,16,11,25
2/5/2013,9,34,21,17,15,28,21,32,26,42,47,44,40,36,49,9,18,45,19,28,26,39,12,35,33,20,11,46,28,20,18,24,23,20,36,32,11,39,28,21,12,12,19,11,38,24,11,28,16,46
2/6/2013,10,22,19,9,7,20,38,38,23,39,34,44,37,22,48,17,18,40,26,21,22,36,12,28,42,22,16,39,38,34,45,26,44,12,34,41,13,49,23,14,9,20,24,14,42,24,11,28,9,29
2/7/2013,13,42,15,15,10,33,43,34,25,44,36,37,51,33,45,16,9,53,20,23,28,51,14,29,44,16,12,54,42,29,35,19,49,17,31,45,17,47,34,21,14,17,31,10,50,24,12,30,16,39
2/8/2013,11,27,26,14,7,28,40,57,31,47,40,45,46,38,54,11,15,53,26,37,23,57,17,36,47,18,16,61,47,36,41,30,34,14,29,54,23,51,28,19,13,22,37,16,56,31,10,26,22,39
2/9/2013,14,28,24,12,8,31,41,61,23,48,41,57,46,37,68,9,16,52,21,24,24,53,15,52,61,43,10,50,51,15,31,33,48,17,43,45,17,58,13,21,17,22,23,23,52,34,9,33,18,25
2/10/2013,11,34,24,13,10,39,36,55,39,41,52,39,64,42,56,20,21,58,33,23,18,61,19,49,51,21,13,50,51,21,31,23,37,19,62,65,26,60,33,21,16,25,29,16,45,35,14,33,36,57
2/11/2013,16,25,18,12,13,29,31,38,32,16,27,32,42,25,35,6,15,34,12,11,14,32,17,23,39,17,13,37,25,16,23,25,23,15,27,35,12,40,18,16,11,17,24,13,37,23,11,16,21,32
2/12/2013,11,39,17,13,13,24,22,37,32,41,47,38,52,29,40,11,14,43,31,24,18,41,14,35,38,25,8,51,39,26,27,23,36,17,33,48,13,50,23,11,12,19,20,20,56,28,13,21,16,47
2/13/2013,14,17,21,13,8,26,27,32,37,33,36,32,51,34,49,19,20,43,22,22,20,42,13,41,38,23,12,42,40,16,22,20,43,14,38,47,12,58,28,17,12,26,29,13,33,32,13,24,15,37
2/14/2013,10,35,12,9,10,27,29,42,25,33,43,36,48,49,45,14,20,55,17,23,22,50,12,34,46,38,12,44,38,18,38,27,32,15,36,41,12,41,24,23,10,20,23,11,42,49,12,26,17,23
2/15/2013,11,34,23,15,11,28,30,35,38,51,38,32,61,29,50,17,19,53,31,34,34,56,19,38,47,24,18,47,32,24,28,31,47,9,59,53,16,45,25,29,13,14,24,24,48,48,5,28,17,30
2/16/2013,7,39,23,13,10,31,52,47,21,37,50,40,54,42,61,21,18,63,27,23,27,55,20,32,57,22,9,52,52,26,41,30,35,16,48,43,22,44,29,18,17,23,29,14,55,40,20,27,23,40
2/17/2013,11,46,22,11,11,45,47,43,28,58,56,37,41,46,76,18,22,61,29,36,40,52,16,37,64,34,14,67,45,31,38,34,41,17,61,42,22,53,17,17,17,23,41,15,51,42,14,28,13,49
2/18/2013,10,31,16,9,5,27,34,32,23,31,43,34,38,26,51,23,13,36,14,20,17,42,10,36,38,22,6,44,28,19,27,15,33,5,27,43,17,39,15,13,16,14,23,10,38,31,12,25,10,34
2/19/2013,10,30,19,8,10,32,30,48,24,39,34,38,51,35,42,21,20,37,19,24,16,42,12,39,47,23,10,49,36,21,20,27,41,15,38,32,19,42,20,10,15,19,18,17,46,32,10,32,11,40
2/20/2013,7,24,25,14,7,33,27,39,29,46,31,46,44,38,37,9,17,49,19,27,28,52,14,27,45,24,5,44,29,17,39,18,30,19,40,42,20,47,14,15,5,22,25,9,47,24,6,28,16,31
2/21/2013,13,31,21,9,11,28,29,48,22,41,47,31,52,30,41,13,25,42,18,31,22,49,20,35,45,31,14,48,35,26,31,35,35,17,48,47,18,34,17,23,19,18,31,16,48,36,10,37,12,36
2/22/2013,12,40,24,9,15,33,31,50,33,56,45,33,58,39,42,12,20,52,22,27,24,47,21,42,57,29,11,53,45,24,38,24,44,19,41,48,23,40,35,13,9,28,31,17,41,37,15,22,15,41
2/23/2013,15,37,29,13,13,41,43,52,30,38,55,49,54,50,57,11,24,50,25,32,28,49,19,46,47,31,19,61,43,23,39,23,58,17,47,54,9,51,25,17,17,26,16,8,42,45,16,39,23,33
2/24/2013,11,33,15,9,9,45,38,58,50,49,50,55,49,42,57,14,20,52,34,36,32,48,23,40,47,28,19,58,51,25,51,23,42,18,55,44,22,64,25,20,9,22,37,13,56,35,10,34,14,37
2/25/2013,7,13,19,8,3,39,29,43,27,28,32,33,42,30,40,7,17,34,18,21,21,38,8,30,35,13,7,33,35,23,21,28,35,8,32,29,16,43,20,15,7,13,28,20,32,27,8,19,12,27
2/26/2013,9,33,17,16,6,36,27,45,31,42,37,31,44,36,50,5,16,49,19,21,20,25,13,36,32,28,11,50,35,25,31,21,33,14,28,47,22,46,29,11,8,19,29,14,38,27,15,34,10,27
2/27/2013,9,19,19,17,9,29,27,38,28,29,32,32,45,38,37,11,20,35,20,20,18,33,6,36,31,25,11,41,36,24,40,20,28,17,30,32,20,49,18,11,9,18,23,14,40,38,18,22,14,43
2/28/2013,10,35,24,14,12,26,28,41,27,44,35,44,42,34,47,21,22,37,23,31,24,38,17,35,52,22,17,50,30,28,30,28,39,13,40,36,15,48,22,17,7,20,34,15,52,40,13,32,20,29
3/1/2013,15,42,31,9,11,36,43,57,46,56,58,49,66,47,59,12,29,60,41,31,30,64,27,55,68,36,11,77,47,37,42,30,47,15,42,50,22,50,38,22,21,23,39,21,64,40,11,36,20,50
3/2/2013,13,49,32,25,16,50,49,56,37,49,51,52,57,42,62,16,28,72,27,36,26,55,23,60,56,24,15,73,62,40,51,39,65,23,54,64,20,56,39,17,20,25,24,16,57,59,15,38,24,52
3/3/2013,20,49,27,19,11,56,41,64,45,60,74,65,79,41,75,20,38,48,33,42,23,53,15,59,69,34,18,77,59,26,47,33,60,27,55,63,16,63,39,25,16,27,41,20,66,36,21,41,18,48
3/4/2013,14,33,19,10,6,28,33,41,23,38,40,28,56,21,43,16,14,52,20,32,27,43,19,42,45,34,14,32,43,21,27,18,43,10,30,43,18,45,26,12,13,22,24,19,49,30,14,21,21,34
3/5/2013,13,42,18,20,10,38,33,54,38,52,46,32,51,40,42,14,20,46,27,28,30,51,16,46,53,36,12,44,35,31,31,22,41,16,44,44,20,41,33,16,16,18,32,19,52,48,16,31,27,37
3/6/2013,17,43,19,13,9,36,48,50,35,50,35,47,65,34,52,22,34,37,27,31,23,54,21,40,48,34,16,57,47,33,45,28,44,18,41,48,23,46,20,23,14,32,43,20,51,34,12,34,21,42
3/7/2013,11,48,22,14,15,34,40,54,49,49,45,47,61,45,56,18,21,67,28,48,28,46,22,54,59,32,13,52,48,19,46,34,58,20,31,48,22,54,32,25,13,23,34,22,50,34,15,42,25,43
3/8/2013,15,43,22,18,9,41,42,59,44,60,48,41,59,34,69,15,25,60,23,33,28,54,17,49,63,36,24,54,56,26,39,31,64,22,51,50,23,68,33,21,27,20,36,17,57,39,14,59,29,49
3/9/2013,16,43,35,20,7,51,51,51,53,70,52,66,71,44,63,16,26,66,32,28,27,68,21,51,57,33,23,73,50,28,39,26,52,19,49,58,22,60,24,20,18,24,38,14,56,52,15,37,24,50
3/10/2013,11,43,33,14,18,47,41,67,35,70,58,57,74,37,58,20,24,70,30,59,24,79,21,61,78,27,21,94,50,25,51,30,56,27,47,48,31,58,47,24,19,47,39,23,66,47,16,47,24,56
3/11/2013,18,34,21,8,9,35,41,30,23,43,34,30,51,23,49,14,10,41,23,24,22,48,23,38,38,23,11,47,34,18,33,24,33,19,31,45,21,39,21,12,8,23,33,8,44,24,12,26,17,29
3/12/2013,14,30,27,14,11,34,39,49,31,55,54,35,62,33,56,13,23,41,18,26,24,41,19,46,44,29,12,41,47,17,44,28,41,18,40,48,24,38,30,12,21,17,27,20,55,30,15,30,19,38
3/13/2013,13,36,21,12,15,34,43,61,18,39,50,37,57,36,42,20,22,41,33,28,21,37,21,44,69,32,8,61,46,26,30,29,39,12,41,58,19,54,26,16,9,23,30,19,50,23,8,32,27,39
3/14/2013,10,44,22,14,9,37,32,52,43,44,47,49,56,39,61,17,21,53,22,29,26,57,17,47,63,37,16,58,48,29,44,29,44,20,38,61,20,55,28,24,10,24,43,12,50,26,22,34,26,46
3/15/2013,14,52,23,15,13,42,49,53,46,44,45,53,72,42,73,13,21,57,29,28,20,53,26,39,57,40,9,56,51,29,44,34,34,24,47,43,22,57,30,19,14,30,23,25,70,43,15,29,22,28
3/16/2013,10,58,30,11,15,39,52,55,29,49,63,60,65,50,48,31,32,65,34,43,37,82,20,42,62,37,16,77,63,25,40,32,46,14,48,46,26,92,36,29,8,33,30,23,61,58,18,42,22,53
3/17/2013,22,46,24,15,19,41,50,62,45,59,51,61,71,44,57,20,29,56,29,32,28,58,19,48,78,35,18,66,52,29,41,32,81,17,45,56,26,65,27,30,23,28,48,28,64,55,21,45,18,51
3/18/2013,11,37,19,10,7,36,29,44,30,40,34,43,43,26,56,15,18,54,29,29,22,42,12,32,40,22,8,67,44,33,31,27,37,19,43,43,19,43,15,17,18,19,20,18,47,37,12,35,14,33
3/19/2013,19,48,21,13,12,32,43,51,38,49,41,47,58,38,70,21,22,51,23,31,31,48,19,42,50,38,16,38,39,25,31,27,51,20,37,56,22,64,22,23,15,16,35,16,43,31,14,19,22,37
3/20/2013,14,43,25,14,12,50,21,46,43,40,42,47,55,34,58,5,29,63,29,29,27,53,16,54,53,35,15,62,36,23,35,22,43,15,43,48,20,58,36,14,15,19,28,16,62,31,10,45,17,42
3/21/2013,17,43,24,15,16,44,38,50,50,45,51,45,51,46,59,18,23,51,19,36,31,48,21,45,51,27,15,56,44,31,38,23,50,24,33,52,15,51,22,18,16,23,30,14,54,39,14,22,21,40
3/22/2013,21,30,31,12,7,32,37,46,32,39,48,51,56,42,72,15,19,53,17,27,25,59,22,53,56,25,21,51,55,28,38,35,49,26,57,59,24,61,26,21,17,23,21,16,68,50,19,47,18,45
3/23/2013,21,51,41,15,13,55,46,55,43,57,52,51,58,39,65,19,32,60,37,38,23,57,21,59,70,34,11,72,56,33,41,35,56,17,40,57,19,63,24,16,20,29,32,22,68,35,19,35,21,46
3/24/2013,19,40,27,22,14,53,38,59,31,59,51,64,74,60,79,16,19,75,30,51,30,56,23,59,63,41,12,68,36,34,54,38,59,14,48,52,31,80,32,17,22,26,36,23,71,55,17,47,19,49
3/25/2013,13,34,14,16,10,29,32,39,31,41,41,34,44,34,42,13,18,34,28,27,19,47,10,38,43,18,18,45,37,20,31,21,31,11,34,34,16,47,15,15,20,23,29,17,55,22,9,26,19,32
3/26/2013,16,27,30,11,11,40,41,45,35,49,37,51,51,36,57,17,21,50,23,26,21,39,14,38,63,25,12,46,40,20,46,32,46,13,35,57,21,52,29,13,12,32,28,23,50,31,20,37,16,40
3/27/2013,11,33,23,14,16,29,41,47,27,35,40,46,46,32,58,11,19,54,29,34,28,47,13,40,50,34,20,53,37,28,31,27,43,16,40,46,14,39,28,23,12,16,35,14,40,40,9,37,20,49
3/28/2013,13,38,23,17,11,35,45,63,37,54,44,44,59,41,65,20,26,57,25,37,28,43,21,44,72,25,13,66,49,29,42,25,46,26,39,57,25,63,43,15,20,29,25,21,60,34,14,34,21,33
3/29/2013,17,45,21,11,15,49,44,63,28,68,43,39,54,47,60,15,16,59,28,35,44,56,20,40,54,43,18,77,55,28,45,43,58,16,44,52,12,61,39,19,22,25,29,20,62,40,17,37,17,39
3/30/2013,19,51,30,23,16,37,53,51,32,56,62,55,62,50,63,21,20,73,28,40,43,53,30,53,71,43,8,76,52,40,48,32,55,17,53,58,24,64,34,25,14,30,27,25,53,46,17,35,23,61
3/31/2013,20,44,34,23,15,33,56,62,47,80,51,64,74,42,74,21,31,72,30,33,29,62,24,76,60,53,24,74,53,31,39,33,63,24,45,67,22,53,35,18,16,24,46,29,68,42,12,38,28,66
4/1/2013,11,40,23,12,14,44,35,63,32,47,50,49,48,30,65,13,17,62,21,29,33,48,19,42,44,38,8,62,47,22,38,35,46,20,45,59,19,42,26,20,19,23,23,20,51,40,14,27,21,55
4/2/2013,19,44,25,14,13,46,47,62,34,49,48,59,67,36,65,18,24,68,29,41,26,55,11,52,71,45,12,63,56,28,29,28,51,17,44,59,14,66,28,19,12,22,23,12,54,43,20,38,19,50
4/3/2013,24,40,18,13,8,34,53,72,44,54,52,49,55,41,54,25,26,76,33,35,19,51,13,41,55,36,11,73,47,35,46,40,46,22,49,58,23,68,35,25,18,23,39,21,47,30,13,31,27,46
4/4/2013,18,53,31,18,22,33,46,64,45,62,64,48,63,43,65,16,20,46,31,37,37,73,29,60,56,32,24,62,49,25,41,34,62,16,55,46,26,71,30,36,13,41,38,24,69,56,15,34,19,50
4/5/2013,19,45,43,24,13,54,43,61,46,63,55,49,68,40,74,21,28,82,28,43,23,69,18,53,55,40,20,75,54,24,47,35,64,21,55,75,25,80,34,28,25,36,38,21,78,57,16,34,24,55
4/6/2013,23,46,34,18,18,63,64,75,46,67,68,57,78,61,69,24,27,92,44,43,38,73,42,62,71,49,23,88,65,45,60,43,69,16,61,68,30,72,37,17,14,37,46,28,74,57,24,48,21,52
4/7/2013,17,57,37,13,11,58,45,82,44,75,68,55,67,53,92,22,40,75,35,40,39,71,33,67,68,44,16,76,73,40,48,39,67,35,63,51,25,94,46,31,22,31,52,23,85,67,21,54,39,59
4/8/2013,19,44,19,6,15,33,40,39,25,35,50,38,38,45,60,14,20,58,15,29,25,42,18,48,50,23,14,55,37,20,36,44,35,10,40,46,15,53,27,14,11,30,27,19,56,29,15,31,22,35
4/9/2013,13,31,17,11,7,48,32,57,34,61,57,53,68,54,72,22,22,55,24,40,33,41,34,47,65,41,21,60,61,45,47,40,50,14,52,57,15,50,39,25,16,30,53,18,50,39,14,32,21,46
4/10/2013,19,49,24,20,8,48,47,65,37,48,52,68,48,43,67,15,23,38,35,53,35,57,24,45,63,28,17,62,54,22,49,26,48,14,38,49,27,64,39,32,17,23,60,24,51,40,13,44,22,58
4/11/2013,16,41,34,14,16,45,50,52,37,55,50,56,60,38,63,32,33,62,26,42,26,89,25,57,46,46,20,68,57,45,45,35,38,14,46,73,22,55,37,21,16,27,47,29,70,53,15,35,20,56
4/12/2013,18,53,37,15,15,53,38,71,43,53,70,61,70,59,77,31,34,60,29,36,37,76,24,48,66,31,21,84,59,34,57,42,46,18,50,60,18,70,28,20,21,31,49,24,70,30,16,44,24,38
4/13/2013,17,50,31,27,18,56,59,68,45,61,70,52,70,43,61,26,19,76,32,52,43,66,35,58,86,44,17,81,74,41,45,36,67,15,61,73,29,82,42,34,26,32,47,39,58,42,19,49,30,65
4/14/2013,26,53,39,27,18,52,55,90,51,71,60,61,73,72,90,24,36,88,32,38,35,81,25,70,53,53,20,76,63,27,65,50,65,21,58,73,22,72,45,38,19,33,49,33,67,43,23,63,31,75
4/15/2013,14,28,24,12,11,25,39,45,31,46,39,46,50,51,75,15,21,67,29,23,30,35,17,43,50,40,18,57,54,31,33,22,44,21,37,48,20,52,34,17,16,18,50,21,37,44,9,33,23,37
4/16/2013,9,45,13,23,10,60,42,55,41,52,64,52,69,37,67,14,23,70,20,41,33,61,29,57,56,34,11,61,51,36,46,34,55,19,43,39,15,60,38,15,17,26,38,19,50,41,22,40,21,35
4/17/2013,17,45,25,21,14,43,40,61,33,59,58,43,65,39,43,20,18,63,32,28,24,60,21,61,54,32,15,60,39,23,36,33,46,20,55,42,24,55,30,18,22,22,42,21,63,45,16,40,21,60
4/18/2013,21,45,21,16,17,40,43,80,45,60,51,66,49,50,76,20,31,53,31,36,27,61,11,41,67,33,22,63,40,16,57,44,46,21,51,60,17,52,29,19,19,28,41,24,63,50,17,40,23,49
4/19/2013,22,58,40,21,17,56,39,58,36,52,62,53,56,42,89,16,28,61,34,39,29,86,31,54,55,34,18,77,60,31,54,40,44,26,58,54,35,67,32,27,14,19,44,20,72,47,20,43,25,49
4/20/2013,22,26,29,21,13,52,64,58,46,54,69,57,71,52,82,29,33,76,48,42,23,77,22,52,63,46,23,72,68,28,44,46,74,27,64,79,23,55,33,21,13,31,38,31,73,54,19,39,19,65
4/21/2013,20,48,35,21,20,62,55,80,55,69,69,63,84,60,99,30,34,90,46,41,30,91,26,67,73,43,20,87,71,44,60,47,74,19,52,68,33,71,49,24,13,31,41,25,65,54,23,42,31,63
4/22/2013,13,27,33,10,11,43,42,52,41,40,48,44,52,42,50,22,17,63,13,26,25,57,17,34,46,30,18,52,36,22,46,34,42,14,37,46,19,56,35,15,20,20,28,10,43,39,17,30,18,42
4/23/2013,11,38,32,21,11,43,36,47,31,60,37,58,66,37,66,28,30,62,26,35,30,55,36,47,66,37,12,84,56,26,48,37,47,14,49,55,20,64,26,28,15,31,33,19,56,48,14,51,18,41
4/24/2013,13,40,33,11,16,46,55,48,31,54,42,64,56,35,69,14,36,55,26,29,31,65,27,46,60,33,20,75,41,30,38,41,56,18,74,67,20,55,31,25,21,25,49,18,77,48,19,33,28,46
4/25/2013,14,51,31,15,13,42,49,47,32,65,52,67,63,48,69,29,23,66,20,39,23,66,27,48,75,47,11,58,45,38,43,30,43,23,58,60,20,59,34,30,11,31,39,20,69,49,18,53,16,58
4/26/2013,20,48,21,14,15,63,44,72,53,63,56,40,63,52,82,23,28,75,36,36,29,60,28,44,75,40,18,64,65,27,36,45,68,24,55,62,21,63,40,21,23,29,41,23,60,46,26,41,29,62
4/27/2013,22,42,32,22,15,56,42,76,41,61,65,57,83,41,68,28,29,77,39,40,35,71,27,66,68,52,22,91,65,39,54,24,59,18,49,66,23,68,40,35,9,29,35,31,57,43,16,61,20,56
4/28/2013,19,53,28,29,14,59,46,54,54,67,61,62,63,62,90,25,33,80,41,46,49,85,21,67,80,48,20,92,56,44,56,38,77,34,54,67,26,69,37,19,26,38,58,25,72,60,29,39,29,60
4/29/2013,11,36,16,9,14,26,56,46,30,50,50,46,50,39,35,12,13,55,23,32,22,52,23,39,37,32,12,46,34,20,43,31,43,14,33,50,18,55,25,15,23,27,23,10,43,33,12,38,21,42
4/30/2013,15,40,28,16,10,49,40,57,42,64,57,40,81,40,65,12,15,62,25,43,28,56,17,49,59,38,19,70,47,29,52,35,63,25,46,55,21,51,28,16,16,24,48,18,65,30,17,42,17,51
5/1/2013,16,51,38,18,15,57,46,69,50,56,54,63,65,38,62,21,18,53,32,26,20,70,16,72,68,37,25,76,54,23,44,38,58,24,56,63,30,61,33,24,23,34,30,25,70,47,17,43,25,57
5/2/2013,23,54,26,25,11,51,53,59,48,51,57,71,80,55,85,22,26,73,24,47,37,61,18,79,69,42,18,78,55,29,53,26,56,23,45,60,20,91,46,24,17,30,43,24,69,64,25,44,24,62
5/3/2013,22,49,41,20,18,54,51,65,40,69,56,51,80,46,94,29,29,102,39,48,26,81,20,77,68,32,16,71,48,33,51,29,56,22,60,67,28,69,40,33,25,29,46,19,86,46,20,42,24,48
5/4/2013,20,49,40,21,15,66,54,86,53,54,75,75,82,49,81,23,38,67,41,49,35,63,25,54,81,45,16,74,57,29,62,49,59,24,54,81,28,93,59,35,25,33,41,30,80,66,21,56,34,57
5/5/2013,14,60,33,27,19,68,57,77,60,63,72,85,58,52,85,32,26,90,53,34,34,72,26,74,73,39,23,104,68,40,53,33,72,20,52,95,29,62,42,23,21,38,49,27,91,47,24,46,25,66
5/6/2013,14,38,23,5,12,43,51,47,35,48,51,54,66,41,53,14,24,52,23,30,25,52,19,38,53,33,18,62,45,36,38,36,42,15,39,52,22,54,38,20,17,25,37,19,50,36,9,40,19,61
